"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","bot","benefits","human","comfort_1","likely_1","check","easy_1","PROLIFIC_PID","condition","bot.1","benefits.1","human.1","humans_DO_human"
"10/20/22 10:35","10/20/22 10:37",0,100,123,1,"10/20/22 10:37","R_2OOukDrc0tczXcW",NA,NA,NA,NA,"anonymous","EN",NA,1,NA,10,10,"vitamin and health",9,"616cdb7ddf98214eb27e2059","robot",NA,1,NA,NA
"10/20/22 10:34","10/20/22 10:37",0,100,188,1,"10/20/22 10:37","R_1FnW7V4N4t5eA74",NA,NA,NA,NA,"anonymous","EN",1,NA,NA,4,3,"wellness",8,"60fd866917347300b1470b1b","robot",1,NA,NA,NA
"10/20/22 10:36","10/20/22 10:37",0,100,76,1,"10/20/22 10:37","R_2fv8dTyUgD5qRJf",NA,NA,NA,NA,"anonymous","EN",NA,NA,1,10,10,"health and wellness store",NA,"5c6babadec1fb80001c18bed","person",NA,NA,1,1
"10/20/22 10:37","10/20/22 10:37",0,100,27,1,"10/20/22 10:37","R_2cc44OBpImo2Y7j",NA,NA,NA,NA,"anonymous","EN",NA,NA,1,8,8,"a health and wellness store",NA,"628d0122bd2de9268f57e207","person",NA,NA,1,1
"10/20/22 10:36","10/20/22 10:38",0,100,130,1,"10/20/22 10:38","R_3EtJfZ5mAm3qmXe",NA,NA,NA,NA,"anonymous","EN",NA,1,NA,7,6,"A health and wellness store",4,"5c054e8a553fb800011917d7","robot",NA,1,NA,NA
"10/20/22 10:38","10/20/22 10:38",0,100,50,1,"10/20/22 10:38","R_UJYGS0ULBewMMGl",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,7,8,"Meditation, vitamin, supplements, wellbeing",NA,"608b3a030c86f58ffd351d63","person",NA,NA,1,1
"10/20/22 10:37","10/20/22 10:39",0,100,108,1,"10/20/22 10:39","R_3PWVZB0XnTnO2BP",NA,NA,NA,NA,"anonymous","EN",1,NA,NA,9,5,"health and wellness",9,"5de91f07c04503000a6922ee","robot",1,NA,NA,NA
"10/20/22 10:37","10/20/22 10:39",0,100,95,1,"10/20/22 10:39","R_1rJtz4R7UKoJ8dO",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,6,5,"health and wellness",6,"5bdfa18a90edd30001c90bc8","robot",1,NA,NA,NA
"10/20/22 10:35","10/20/22 10:39",0,100,234,1,"10/20/22 10:39","R_2D8K9ORwbFynGqy",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,5,5,"",5,"634ab65face98683f8138cf2","robot",1,NA,NA,NA
"10/20/22 10:39","10/20/22 10:40",0,100,50,1,"10/20/22 10:40","R_1DnFssAxMaYYFJq",NA,NA,NA,NA,"anonymous","EN",NA,NA,1,8,8,"wellness store",NA,"5f178176fd9dc510cad21a86","person",NA,NA,1,1
"10/20/22 10:40","10/20/22 10:41",0,100,38,1,"10/20/22 10:41","R_zThTtt35xQrj7gJ",NA,NA,NA,NA,"anonymous","EN",NA,NA,1,8,8,"Health and wellness ",NA,"6104596da7a0db3793afe649","person",NA,NA,1,1
"10/20/22 10:41","10/20/22 10:42",0,100,28,1,"10/20/22 10:42","R_2cpSFXMjeMMA4Qa",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,7,7,"Health wellness store",NA,"60ca793758a2501babb08221","person",NA,NA,1,1
"10/20/22 10:38","10/20/22 10:42",0,100,230,1,"10/20/22 10:42","R_1mJhKRT1eB1W8T4",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,6,6,"Health, Wellness & meditation store",5,"62a8d2961bb3819dc4f834bd","robot",NA,1,NA,NA
"10/20/22 10:39","10/20/22 10:42",0,100,156,1,"10/20/22 10:42","R_WpmaFzj8AIXqNGN",NA,NA,NA,NA,"anonymous","EN",1,NA,NA,7,6,"health and wellness",5,"5babccde7fd2120001e5e1d0","robot",1,NA,NA,NA
"10/20/22 10:41","10/20/22 10:43",0,100,83,1,"10/20/22 10:43","R_2Ui05xVk0OQn3Yx",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,6,6,"Health and wellness",4,"5e56717ff994d1000c5c2dee","robot",NA,1,NA,NA
"10/20/22 10:40","10/20/22 10:43",0,100,161,1,"10/20/22 10:43","R_2Sdw3Jj7TsZi9kq",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,3,3,"Health and Wellness",8,"5d18cf6eb3e698001eea9960","robot",1,NA,NA,NA
"10/20/22 10:41","10/20/22 10:43",0,100,97,1,"10/20/22 10:43","R_b909ntkneey0K9X",NA,NA,NA,NA,"anonymous","EN",1,NA,NA,5,4,"Health and wellness store",7,"613a16a4db2cb808b1834632","robot",1,NA,NA,NA
"10/20/22 10:43","10/20/22 10:44",0,100,72,1,"10/20/22 10:44","R_1LRqEiNBPlqkORq",NA,NA,NA,NA,"anonymous","EN",1,NA,NA,7,6,"Health and wellness store",8,"5f7654f879a4420e6d20971b","robot",1,NA,NA,NA
"10/20/22 10:41","10/20/22 10:44",0,100,193,1,"10/20/22 10:44","R_Y5HEnPaQatD8xAR",NA,NA,NA,NA,"anonymous","EN",NA,1,NA,7,8,"Health and wellness ",8,"611db293a6a5db20c47ab430","robot",NA,1,NA,NA
"10/20/22 10:44","10/20/22 10:44",0,100,54,1,"10/20/22 10:44","R_1ieAMvO2I1lINwB",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,5,5,"health and wellness",NA,"5686e598369319000b268e63","person",NA,NA,1,1
"10/20/22 10:44","10/20/22 10:45",0,100,35,1,"10/20/22 10:45","R_1jJsQqPcQZ0pwPE",NA,NA,NA,NA,"anonymous","EN",NA,NA,1,9,9,"health store",NA,"5dda942451c6d29ef6b84635","person",NA,NA,1,1
"10/20/22 10:45","10/20/22 10:46",0,100,28,1,"10/20/22 10:46","R_3EFsOoFn9OmfvwM",NA,NA,NA,NA,"anonymous","EN",NA,NA,1,10,10,"health and wellness",NA,"5d671936b5671a0017326ace","person",NA,NA,1,1
"10/20/22 10:42","10/20/22 10:46",0,100,232,1,"10/20/22 10:46","R_ustoWffTpzdRWJH",NA,NA,NA,NA,"anonymous","EN",NA,1,NA,3,6,"Health and wellness store",8,"5e36efb122d9f6672e1867c2","robot",NA,1,NA,NA
"10/20/22 10:44","10/20/22 10:46",0,100,89,1,"10/20/22 10:46","R_3KVEpL77DjGt7Au",NA,NA,NA,NA,"anonymous","EN",1,NA,NA,1,2,"health and wellness",7,"6124232e0de36853de1edfa5","robot",1,NA,NA,NA
"10/20/22 10:45","10/20/22 10:46",0,100,33,1,"10/20/22 10:46","R_1OOe1V6NHX7rSXW",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,10,10,"A health and wellness store",NA,"5dd18dbe7af6611f4140d40b","person",NA,NA,1,1
"10/20/22 10:45","10/20/22 10:46",0,100,81,1,"10/20/22 10:46","R_12LMuFxgNmmR0TF",NA,NA,NA,NA,"anonymous","EN",1,NA,NA,9,9,"It's a health / wellness store",8,"616c1cc2510fe9022f6577f8","robot",1,NA,NA,NA
"10/20/22 10:44","10/20/22 10:46",0,100,88,1,"10/20/22 10:46","R_Ubxcj9G3Df8PZ5f",NA,NA,NA,NA,"anonymous","EN",NA,1,NA,2,2,"Health and wellness store",8,"603933bc6aac093efe75d372","robot",NA,1,NA,NA
"10/20/22 10:44","10/20/22 10:46",0,100,113,1,"10/20/22 10:46","R_b1VcDvC2uHfjAit",NA,NA,NA,NA,"anonymous","EN",NA,NA,1,10,8,"Herbal Supplement this is me and you",NA,"62b60546b6ab4966330c578d","person",NA,NA,1,1
"10/20/22 10:44","10/20/22 10:47",0,100,143,1,"10/20/22 10:47","R_1JWIOEwUMbItMCd",NA,NA,NA,NA,"anonymous","EN",1,NA,NA,7,7,"A health and wellness store",10,"5f9bad3d65e5133ce9929b2b","robot",1,NA,NA,NA
"10/20/22 10:44","10/20/22 10:47",0,100,149,1,"10/20/22 10:47","R_1ePmQ8VoEY0VNnO",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,8,7,"Health and wellness",7,"5ef37831c37ebb0bbd2d3e03","robot",NA,1,NA,NA
"10/20/22 10:46","10/20/22 10:47",0,100,27,1,"10/20/22 10:47","R_1ITbvODITKCmOcy",NA,NA,NA,NA,"anonymous","EN",NA,NA,1,8,8,"Health and beauty",NA,"634825ebf527096edf593db7","person",NA,NA,1,1
"10/20/22 10:46","10/20/22 10:47",0,100,69,1,"10/20/22 10:47","R_1F5kZeItUXwEtnU",NA,NA,NA,NA,"anonymous","EN",1,NA,NA,4,5,"health store",3,"5c3156e88c6d820001abf5c6","robot",1,NA,NA,NA
"10/20/22 10:45","10/20/22 10:48",0,100,150,1,"10/20/22 10:48","R_1dgL8WY7dwEXa3D",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,10,10,"Health and wellness store",9,"6141336204eb8ccdd5f75e09","robot",NA,1,NA,NA
"10/20/22 10:47","10/20/22 10:48",0,100,95,1,"10/20/22 10:48","R_24jyJiRHLujZ9IU",NA,NA,NA,NA,"anonymous","EN",1,NA,NA,9,5,"Health and wellness ",8,"5eb192fcbb01520b5cae89ee","robot",1,NA,NA,NA
"10/20/22 10:48","10/20/22 10:48",0,100,35,1,"10/20/22 10:48","R_2TvkgPlBB6Ikx8v",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,10,9,"Health and wellness store selling vitamins and supplements",NA,"60284ba64dc0f46ed3e37bb6","person",NA,NA,1,1
"10/20/22 10:47","10/20/22 10:49",0,100,82,1,"10/20/22 10:49","R_1Cxtlt89Weva2Ga",NA,NA,NA,NA,"anonymous","EN",NA,1,NA,0,0,"Health store",5,"610881256b500e6b59e8d58d","robot",NA,1,NA,NA
"10/20/22 10:45","10/20/22 10:49",0,100,226,1,"10/20/22 10:49","R_1FqPlXP3Wskw7HY",NA,NA,NA,NA,"anonymous","EN",NA,1,NA,2,2,"Health and Wellness",8,"5a7f2307b093f80001a7a458","robot",NA,1,NA,NA
"10/20/22 10:47","10/20/22 10:49",0,100,73,1,"10/20/22 10:49","R_1nNK9GCibyGOdMS",NA,NA,NA,NA,"anonymous","EN",1,NA,NA,0,0,"vitamin store ",9,"5dedb806838b4f46c8d183a5","robot",1,NA,NA,NA
"10/20/22 10:47","10/20/22 10:49",0,100,78,1,"10/20/22 10:49","R_cwHdE1lfM3nCNXj",NA,NA,NA,NA,"anonymous","EN",1,NA,NA,9,9,"Health and wellness store. ",8,"5623f6afed6e5a000bc7f219","robot",1,NA,NA,NA
"10/20/22 10:47","10/20/22 10:49",0,100,97,1,"10/20/22 10:49","R_3McG7ud58dht4ny",NA,NA,NA,NA,"anonymous","EN",1,NA,NA,6,6,"health and wellness",4,"5865ecf6a7f6480001ed9791","robot",1,NA,NA,NA
"10/20/22 10:47","10/20/22 10:49",0,100,150,1,"10/20/22 10:49","R_1msdBjFD4WHZJfj",NA,NA,NA,NA,"anonymous","EN",NA,1,NA,10,10,"health store that sells herbal elements and vitamins",10,"62a89318448a8592fc88ee03","robot",NA,1,NA,NA
"10/20/22 10:47","10/20/22 10:49",0,100,153,1,"10/20/22 10:49","R_sR2rVa9ohooS2Tn",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,7,7,"Health and Wellness",NA,"5e58376293597e044d5af47a","person",NA,NA,1,1
