Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Custom study tncs accepted at
634dc7162f82dde752137919,5e9dc87fa311c01108463305,APPROVED,2022-10-17T21:20:25.814000Z,2022-10-17T21:21:19.723000Z,2022-10-17T21:21:20.939000Z,2022-10-17T21:21:20.944955Z,54,C144ZYME,182,36,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking),
634dc72116905409e9a30af9,5e371009171c40696077e5a5,APPROVED,2022-10-17T21:20:37.047000Z,2022-10-17T21:22:38.497000Z,2022-10-17T21:22:44.286000Z,2022-10-17T21:22:39.195367Z,122,C144ZYME,168,20,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking),
634dc7226765681284a9fb17,5a9dd8b1873cda00010d18c5,APPROVED,2022-10-17T21:20:53.175000Z,2022-10-17T21:23:10.821000Z,2022-10-17T21:23:11.272000Z,2022-10-17T21:23:11.201096Z,138,C144ZYME,1219,28,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
634dc722c78a07ee445291e9,6110b1149d2c544a664a2fb8,APPROVED,2022-10-17T21:20:38.047000Z,2022-10-17T21:22:38.634000Z,2022-10-17T21:22:39.053000Z,2022-10-17T21:22:38.979558Z,121,C144ZYME,24,22,Female,Mixed,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)",
634dc73409c4cef3f7e95349,58477607f1b9b3000192bb01,APPROVED,2022-10-17T21:20:57.412000Z,2022-10-17T21:23:07.600000Z,2022-10-17T21:23:09.102000Z,2022-10-17T21:23:09.037130Z,131,C144ZYME,2175,DATA_EXPIRED,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,
634dc73c50411bbd5d998f48,5fe65296c9707d44700d1cd2,APPROVED,2022-10-17T21:21:02.694000Z,2022-10-17T21:22:17.016000Z,2022-10-17T21:22:17.463000Z,2022-10-17T21:22:17.383950Z,75,C144ZYME,218,30,Male,Asian,United States,United States,United States,English,No,Full-Time,
634dc7418ee728348516ac8e,5feffe5b069e3b33013fc664,APPROVED,2022-10-17T21:21:09.182000Z,2022-10-17T21:22:22.158000Z,2022-10-17T21:22:22.568000Z,2022-10-17T21:22:22.502462Z,73,C144ZYME,8,33,Male,Asian,United States,United States,United States,English,No,Part-Time,
634dc74b3044a06d88529210,5c1c906215a94b00018d4dd3,APPROVED,2022-10-17T21:21:19.395000Z,2022-10-17T21:27:55.404000Z,2022-10-17T21:27:55.851000Z,2022-10-17T21:27:55.775198Z,397,C144ZYME,297,36,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking),
634dc76a16905409e9a30b03,5ac52f51e1099600016a8a7e,APPROVED,2022-10-17T21:21:51.445000Z,2022-10-17T21:22:28.983000Z,2022-10-17T21:22:29.412000Z,2022-10-17T21:22:29.355284Z,38,C144ZYME,302,52,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
634dc77450411bbd5d998f4e,60feef94fa8ce545b5ebb074,APPROVED,2022-10-17T21:22:01.755000Z,2022-10-17T21:23:42.430000Z,2022-10-17T21:23:43.207000Z,2022-10-17T21:23:43.132618Z,101,C144ZYME,554,51,Female,Asian,India,United States,United States,Telugu,DATA_EXPIRED,DATA_EXPIRED,
634dc77612d1f5151baf780c,6296f6b50fbeeb28c63800df,APPROVED,2022-10-17T21:22:05.659000Z,2022-10-17T21:22:51.712000Z,2022-10-17T21:22:52.119000Z,2022-10-17T21:22:52.043601Z,47,C144ZYME,486,21,Female,White,United States,United States,United States,English,Yes,Part-Time,
634dc777bce4dbc530a40dd4,6018aeeb0fa3e419a12c1423,APPROVED,2022-10-17T21:22:02.984000Z,2022-10-17T21:25:11.840000Z,2022-10-17T21:25:12.304000Z,2022-10-17T21:25:12.233434Z,189,C144ZYME,783,36,Female,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
634dc78a2a984a6e421aa534,56a68bb49ce1c0000df89344,APPROVED,2022-10-17T21:22:21.658000Z,2022-10-17T21:22:47.053000Z,2022-10-17T21:22:47.589000Z,2022-10-17T21:22:47.517822Z,26,C144ZYME,1014,34,Male,Asian,United States,United States,United States,English,No,Full-Time,
634dc792383873fb2bc4b8d3,6153feff56031fc0b414028b,APPROVED,2022-10-17T21:22:26.815000Z,2022-10-17T21:26:17.989000Z,2022-10-17T21:26:18.500000Z,2022-10-17T21:26:18.399469Z,232,C144ZYME,1023,49,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,
634dc7a05fb25894dceef4af,56873d283693190005268fe7,APPROVED,2022-10-17T21:22:45.648000Z,2022-10-17T21:25:17.285000Z,2022-10-17T21:25:17.789000Z,2022-10-17T21:25:17.718226Z,152,C144ZYME,351,50,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
634dc7a20900bbf5477ff699,610991f52ca853dc32c4bf49,APPROVED,2022-10-17T21:22:44.751000Z,2022-10-17T21:23:37.412000Z,2022-10-17T21:23:37.882000Z,2022-10-17T21:23:37.790918Z,53,C144ZYME,403,24,Female,White,United States,United States,United States,English,Yes,Unemployed (and job seeking),
634dc7a77fcbcb707993e460,5d734121d169f0001706ef8f,APPROVED,2022-10-17T21:22:52.842000Z,2022-10-17T21:23:46.674000Z,2022-10-17T21:23:47.189000Z,2022-10-17T21:23:47.114024Z,54,C144ZYME,568,41,Female,White,United States,United States,United States,English,No,DATA_EXPIRED,
634dc7aaf71cf7e2f5bec972,5f62a420a760f03465c5086d,APPROVED,2022-10-17T21:22:55.402000Z,2022-10-17T21:23:40.154000Z,2022-10-17T21:23:40.580000Z,2022-10-17T21:23:40.501979Z,45,C144ZYME,373,52,Female,White,United States,United States,United States,English,No,Full-Time,
634dc7ada87e1861617ff69e,5f7d026c6fd2421d2dc1af04,APPROVED,2022-10-17T21:23:46.984000Z,2022-10-17T21:26:03.361000Z,2022-10-17T21:26:03.922000Z,2022-10-17T21:26:03.847684Z,137,C144ZYME,1913,36,Male,White,United States,United States,United States,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)",
634dc7b874c03bb388886325,5c9b11249cd82b00174fd7ad,APPROVED,2022-10-17T21:23:09.628000Z,2022-10-17T21:23:44.032000Z,2022-10-17T21:23:44.549000Z,2022-10-17T21:23:44.474212Z,35,C144ZYME,1973,39,Male,White,United States,United States,United States,English,No,Full-Time,
634dc7b997acb24488af7849,5ba55d7a310eb3000138dc2e,APPROVED,2022-10-17T21:23:06.656000Z,2022-10-17T21:24:48.002000Z,2022-10-17T21:24:48.524000Z,2022-10-17T21:24:48.461993Z,102,C144ZYME,1256,34,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,
634dc7cd3cf389f799d1b8b1,5b4532ccc623ed00013d2a41,APPROVED,2022-10-17T21:23:32.370000Z,2022-10-17T21:26:32.440000Z,2022-10-17T21:26:32.893000Z,2022-10-17T21:26:32.825789Z,181,C144ZYME,1358,51,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,
